2020-04-01 21:02:33 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:33 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:02:34 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:34 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:02:36 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:36 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:02:37 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:37 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:02:39 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:39 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:02:40 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:40 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:02:42 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:02:42 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:03:23 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:23 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:25 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:25 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:26 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:26 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:28 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:28 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:29 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:29 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:31 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:31 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:32 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:32 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:34 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:34 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:35 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:35 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:37 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:37 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:38 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:38 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:40 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:40 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:41 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:41 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:43 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:43 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:44 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:44 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:46 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:46 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:47 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:47 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:49 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:49 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:50 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:50 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:52 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:52 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:53 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:53 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:55 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:55 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:56 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:56 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:58 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:58 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:03:59 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:03:59 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:01 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:01 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:02 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:02 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:04 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:04 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:05 Recipe: bitcoinker, is_alive: True, wait_status:True
